OpenMP is supported -- version = 201511
 1 ,  331 ,    2 ,   46.434
OpenMP is supported -- version = 201511
 1 ,  331 ,    3 ,   51.582
OpenMP is supported -- version = 201511
 1 ,  331 ,    4 ,   57.923
OpenMP is supported -- version = 201511
 1 ,  331 ,    5 ,   59.791
OpenMP is supported -- version = 201511
 1 ,  331 ,   10 ,   59.529
OpenMP is supported -- version = 201511
 1 ,  331 ,   15 ,   79.411
OpenMP is supported -- version = 201511
 1 ,  331 ,   20 ,   83.986
OpenMP is supported -- version = 201511
 1 ,  331 ,   30 ,   87.021
OpenMP is supported -- version = 201511
 1 ,  331 ,   40 ,   98.393
OpenMP is supported -- version = 201511
 1 ,  331 ,   50 ,   85.326
OpenMP is supported -- version = 201511
 2 ,  331 ,    2 ,   11.742
OpenMP is supported -- version = 201511
 2 ,  331 ,    3 ,   20.021
OpenMP is supported -- version = 201511
 2 ,  331 ,    4 ,   23.823
OpenMP is supported -- version = 201511
 2 ,  331 ,    5 ,   34.054
OpenMP is supported -- version = 201511
 2 ,  331 ,   10 ,   26.305
OpenMP is supported -- version = 201511
 2 ,  331 ,   15 ,   91.453
OpenMP is supported -- version = 201511
 2 ,  331 ,   20 ,   90.366
OpenMP is supported -- version = 201511
 2 ,  331 ,   30 ,  127.481
OpenMP is supported -- version = 201511
 2 ,  331 ,   40 ,  123.386
OpenMP is supported -- version = 201511
 2 ,  331 ,   50 ,  128.197
OpenMP is supported -- version = 201511
 4 ,  331 ,    2 ,    8.311
OpenMP is supported -- version = 201511
 4 ,  331 ,    3 ,   11.468
OpenMP is supported -- version = 201511
 4 ,  331 ,    4 ,   15.406
OpenMP is supported -- version = 201511
 4 ,  331 ,    5 ,   17.800
OpenMP is supported -- version = 201511
 4 ,  331 ,   10 ,   39.012
OpenMP is supported -- version = 201511
 4 ,  331 ,   15 ,   63.286
OpenMP is supported -- version = 201511
 4 ,  331 ,   20 ,   38.871
OpenMP is supported -- version = 201511
 4 ,  331 ,   30 ,  110.277
OpenMP is supported -- version = 201511
 4 ,  331 ,   40 ,  143.951
OpenMP is supported -- version = 201511
 4 ,  331 ,   50 ,   13.864
OpenMP is supported -- version = 201511
 6 ,  331 ,    2 ,    6.539
OpenMP is supported -- version = 201511
 6 ,  331 ,    3 ,    0.670
OpenMP is supported -- version = 201511
 6 ,  331 ,    4 ,   12.300
OpenMP is supported -- version = 201511
 6 ,  331 ,    5 ,   15.585
OpenMP is supported -- version = 201511
 6 ,  331 ,   10 ,   31.086
OpenMP is supported -- version = 201511
 6 ,  331 ,   15 ,   37.727
 6 ,  331 ,   20 ,   64.081
 6 ,  331 ,   30 ,   97.730
 6 ,  331 ,   40 ,  131.289
 6 ,  331 ,   50 ,  140.826
 8 ,  331 ,    2 ,    0.420
 8 ,  331 ,    3 ,    8.139
 8 ,  331 ,    4 ,    0.310
 8 ,  331 ,    5 ,   14.063
 8 ,  331 ,   10 ,    1.205
 8 ,  331 ,   15 ,    0.912
 8 ,  331 ,   20 ,    1.123
 8 ,  331 ,   30 ,    1.773
 8 ,  331 ,   40 ,    6.875
 8 ,  331 ,   50 ,    3.419
